date,region,product,quantity,price,revenue
2023-02-03,East,Product D,2,157.0,314
2023-02-10,South,Product E,8,44.88,359
2023-02-02,South,Product E,11,20.18,222
2023-02-27,North,Product D,13,12.92,168
2023-02-23,East,Product D,17,26.53,451
2023-02-13,East,Product D,8,56.75,454
2023-02-13,Central,Product B,18,1.83,33
2023-02-18,Central,Product D,18,22.94,413
2023-02-03,North,Product C,14,21.57,302
2023-02-27,North,Product A,15,0.87,13
2023-02-07,West,Product D,6,38.17,229
2023-02-14,Central,Product A,11,33.91,373
2023-02-20,South,Product B,13,30.08,391
2023-02-17,East,Product A,1,29.0,29
2023-02-21,North,Product B,6,75.5,453
2023-02-12,East,Product C,9,17.89,161
2023-02-25,East,Product B,8,7.38,59
2023-02-16,West,Product B,11,16.91,186
2023-02-24,Central,Product E,19,23.37,444
2023-02-12,North,Product D,9,11.67,105
2023-02-15,East,Product D,17,6.71,114
2023-02-25,North,Product C,12,35.75,429
2023-02-10,South,Product C,14,18.5,259
2023-02-25,West,Product D,15,8.4,126
2023-02-07,South,Product E,16,22.69,363
2023-02-20,North,Product D,1,237.0,237
2023-02-05,North,Product E,10,7.5,75
2023-02-01,Central,Product C,8,43.0,344
2023-02-17,East,Product A,18,23.72,427
2023-02-03,East,Product C,1,429.0,429
2023-02-13,South,Product C,2,135.5,271
2023-02-14,West,Product B,1,304.0,304
2023-02-24,East,Product B,1,435.0,435
2023-02-18,Central,Product B,9,28.0,252
2023-02-04,South,Product B,13,29.23,380
2023-02-18,South,Product E,1,195.0,195
2023-02-05,Central,Product D,13,19.62,255
2023-02-25,West,Product A,7,19.14,134
2023-02-16,Central,Product C,2,138.5,277
2023-02-01,West,Product E,6,23.33,140
2023-02-21,Central,Product A,7,35.14,246
2023-02-14,Central,Product E,14,1.93,27
2023-02-15,North,Product E,18,2.72,49
2023-02-09,South,Product C,15,2.0,30
2023-02-15,Central,Product D,2,204.0,408
2023-02-17,Central,Product B,10,23.4,234
2023-02-25,East,Product D,12,30.33,364
2023-02-24,South,Product C,17,17.12,291
2023-02-04,East,Product C,8,2.12,17
2023-02-12,South,Product C,11,9.91,109
2023-02-27,East,Product A,3,83.0,249
2023-02-26,Central,Product D,6,81.17,487
2023-02-05,Central,Product D,9,10.67,96
2023-02-05,North,Product E,6,51.17,307
2023-02-11,East,Product E,9,48.56,437
2023-02-28,West,Product E,7,3.29,23
2023-02-06,North,Product C,9,38.11,343
2023-02-07,East,Product D,18,0.61,11
2023-02-24,East,Product C,12,32.0,384
2023-02-14,North,Product A,8,37.75,302
2023-02-24,Central,Product E,8,41.75,334
2023-02-11,East,Product C,18,23.94,431
2023-02-13,Central,Product C,15,3.33,50
2023-02-02,North,Product A,7,46.71,327
2023-02-25,Central,Product B,11,29.55,325
2023-02-07,South,Product D,16,24.38,390
2023-02-20,West,Product B,4,30.0,120
2023-02-04,East,Product E,6,3.83,23
2023-02-27,West,Product C,3,80.0,240
2023-02-08,Central,Product A,9,53.56,482
2023-02-20,East,Product A,10,9.3,93
2023-02-22,Central,Product D,14,9.93,139
2023-02-21,South,Product B,11,21.82,240
2023-02-19,North,Product D,18,18.61,335
2023-02-13,East,Product C,12,12.83,154
2023-02-14,South,Product D,12,32.33,388
2023-02-10,South,Product A,13,27.23,354
2023-02-11,East,Product A,13,2.85,37
2023-02-02,Central,Product E,19,3.95,75
2023-02-25,South,Product E,19,9.05,172
2023-02-26,West,Product C,14,17.0,238
2023-02-09,South,Product B,4,67.5,270
2023-02-17,Central,Product D,13,35.23,458
2023-02-26,Central,Product C,8,54.12,433
2023-02-03,West,Product E,19,24.68,469
2023-02-24,South,Product D,12,37.42,449
2023-02-06,Central,Product E,18,9.61,173
2023-02-05,East,Product D,6,51.67,310
2023-02-05,North,Product B,18,23.11,416
2023-02-22,North,Product C,19,16.42,312
2023-02-15,North,Product D,5,59.2,296
2023-02-23,South,Product A,9,44.89,404
2023-02-17,West,Product A,3,6.33,19
2023-02-09,Central,Product D,10,20.4,204
2023-02-03,East,Product D,19,6.68,127
2023-02-20,East,Product D,3,93.0,279
2023-02-26,South,Product A,15,5.93,89
2023-02-17,North,Product A,1,467.0,467
2023-02-27,South,Product D,7,14.57,102
2023-02-10,West,Product E,12,22.92,275
