date,region,product,quantity,price,revenue
2023-01-14,Central,Product B,5,10.6,53
2023-01-06,East,Product C,6,75.33,452
2023-01-05,East,Product A,9,34.89,314
2023-01-30,East,Product C,2,227.0,454
2023-01-11,East,Product C,12,2.17,26
2023-01-31,South,Product D,3,113.0,339
2023-01-04,West,Product C,12,5.5,66
2023-01-13,Central,Product C,17,18.82,320
2023-01-11,North,Product A,10,31.2,312
2023-01-03,West,Product D,14,1.5,21
2023-01-01,East,Product E,17,19.24,327
2023-01-06,West,Product A,18,4.94,89
2023-01-18,Central,Product A,19,11.84,225
2023-01-24,North,Product E,17,20.47,348
2023-01-10,North,Product C,14,19.5,273
2023-01-05,Central,Product B,9,54.22,488
2023-01-23,Central,Product D,8,19.75,158
2023-01-10,East,Product B,2,45.0,90
2023-01-12,North,Product E,13,17.23,224
2023-01-02,West,Product A,7,70.57,494
2023-01-13,South,Product A,9,42.56,383
2023-01-08,South,Product D,11,43.0,473
2023-01-02,Central,Product A,14,14.79,207
2023-01-20,East,Product A,4,52.25,209
2023-01-01,South,Product D,13,2.62,34
2023-01-31,North,Product D,2,237.5,475
2023-01-05,Central,Product E,5,19.6,98
2023-01-09,West,Product A,11,25.18,277
2023-01-17,Central,Product A,6,25.33,152
2023-01-09,West,Product E,18,3.78,68
2023-01-11,Central,Product C,10,41.9,419
2023-01-15,Central,Product C,4,124.5,498
2023-01-24,Central,Product C,9,41.56,374
2023-01-06,West,Product E,6,5.83,35
2023-01-23,West,Product A,2,28.0,56
2023-01-03,Central,Product E,17,17.47,297
2023-01-30,South,Product E,5,55.0,275
2023-01-31,East,Product C,6,4.17,25
2023-01-17,East,Product B,12,17.33,208
2023-01-05,East,Product A,10,41.0,410
2023-01-30,West,Product C,6,69.33,416
2023-01-28,West,Product B,8,36.38,291
2023-01-12,South,Product B,2,239.0,478
2023-01-18,East,Product D,12,7.92,95
2023-01-14,East,Product A,13,19.92,259
2023-01-21,Central,Product B,7,57.14,400
2023-01-24,West,Product C,10,27.9,279
2023-01-11,East,Product D,13,26.46,344
2023-01-09,South,Product A,17,7.41,126
2023-01-02,South,Product E,14,1.14,16
2023-01-12,East,Product C,2,73.0,146
2023-01-03,West,Product B,11,34.55,380
2023-01-03,South,Product B,1,185.0,185
2023-01-01,Central,Product C,19,17.74,337
2023-01-08,South,Product B,4,81.0,324
2023-01-22,North,Product D,19,11.79,224
2023-01-28,North,Product A,11,44.18,486
2023-01-29,West,Product D,8,11.38,91
2023-01-08,East,Product B,11,21.09,232
2023-01-11,West,Product E,4,121.75,487
2023-01-09,West,Product A,17,22.41,381
2023-01-05,West,Product A,7,61.71,432
2023-01-14,West,Product C,8,61.5,492
2023-01-28,Central,Product C,3,137.0,411
2023-01-30,Central,Product E,2,226.0,452
2023-01-03,South,Product A,15,33.27,499
2023-01-21,North,Product E,5,22.4,112
2023-01-05,West,Product C,1,282.0,282
2023-01-05,South,Product C,4,5.75,23
2023-01-19,North,Product A,15,11.2,168
2023-01-27,East,Product D,19,8.47,161
2023-01-14,Central,Product B,3,164.0,492
2023-01-26,North,Product C,11,10.64,117
2023-01-30,East,Product C,17,11.59,197
2023-01-04,North,Product D,13,23.85,310
2023-01-25,Central,Product D,11,9.73,107
2023-01-13,Central,Product E,2,70.0,140
2023-01-10,South,Product E,9,33.56,302
2023-01-25,West,Product B,2,90.0,180
2023-01-18,North,Product B,9,48.11,433
2023-01-08,North,Product A,9,53.67,483
2023-01-08,East,Product E,8,24.0,192
2023-01-07,Central,Product C,17,28.24,480
2023-01-08,North,Product E,1,373.0,373
2023-01-14,Central,Product C,11,4.36,48
2023-01-19,North,Product D,8,3.0,24
2023-01-29,South,Product E,10,38.5,385
2023-01-06,West,Product D,7,1.86,13
2023-01-01,North,Product B,3,119.33,358
2023-01-23,Central,Product B,3,159.67,479
2023-01-31,South,Product A,18,23.22,418
2023-01-15,North,Product E,5,81.2,406
2023-01-01,East,Product D,12,18.25,219
2023-01-25,West,Product C,12,14.17,170
2023-01-17,North,Product B,19,1.32,25
2023-01-01,South,Product B,6,72.5,435
2023-01-15,East,Product C,2,58.5,117
2023-01-23,South,Product D,12,32.58,391
2023-01-02,South,Product D,19,24.16,459
2023-01-14,East,Product E,5,64.0,320
